Title,Authors,Published,Updated,Summary,ID,Categories,Real_Categories
The diagonalization of quantum field Hamiltonians,"['Dean Lee', 'Nathan Salwen', 'Daniel Lee']",2000-02-29T13:32:10Z,2000-10-24T18:40:01Z,"We introduce a new diagonalization method called quasi-sparse eigenvector
diagonalization which finds the most important basis vectors of the low energy
eigenstates of a quantum Hamiltonian. It can operate using any basis, either
orthogonal or non-orthogonal, and any sparse Hamiltonian, either Hermitian,
non-Hermitian, finite-dimensional, or infinite-dimensional. The method is part
of a new computational approach which combines both diagonalization and Monte
Carlo techniques.",http://arxiv.org/abs/hep-th/0002251v4,['hep-th'],['High Energy Physics - Theory']
Critical phenomena of thick branes in warped spacetimes,['Antonio Campos'],2001-11-22T16:47:27Z,2002-04-15T17:02:27Z,"We have investigated the effects of a generic bulk first-order phase
transition on thick Minkowski branes in warped geometries. As occurs in
Euclidean space, when the system is brought near the phase transition an
interface separating two ordered phases splits into two interfaces with a
disordered phase in between. A remarkable and distinctive feature is that the
critical temperature of the phase transition is lowered due to pure geometrical
effects. We have studied a variety of critical exponents and the evolution of
the transverse-traceless sector of the metric fluctuations.",http://arxiv.org/abs/hep-th/0111207v2,['hep-th'],['High Energy Physics - Theory']
"Black Hole Formation in Core-Collapse Supernovae and Time-of-Flight
  Measurements of the Neutrino Masses","['J. F. Beacom', 'R. N. Boyd', 'A. Mezzacappa']",2000-10-19T18:28:33Z,2001-01-08T21:09:02Z,"Early black hole formation in core-collapse supernovae may be triggered by
mass accretion or a change in the high-density equation of state. We consider
the possibility that black hole formation happens when the flux of neutrinos is
still measurably high. If this occurs, then the neutrino signal from the
supernova will be terminated abruptly (the transition takes $\lesssim 0.5$ ms).
The properties and duration of the signal before the cutoff are important
measures of both the physics and astrophysics of the cooling proto-neutron
star. For the event rates expected in present and proposed detectors, the
cutoff will generally appear sharp, thus allowing model-independent
time-of-flight mass tests for the neutrinos after the cutoff. If black hole
formation occurs relatively early, within a few ($\sim 1$) seconds after core
collapse, then the expected luminosities are of order $L_{BH} = 10^{52}$ erg/s
per flavor. In this case, the neutrino mass sensitivity can be extraordinary.
For a supernova at a distance $D = 10$ kpc, SuperKamiokande can detect a
$\bar{\nu}_e$ mass down to 1.8 eV by comparing the arrival times of the
high-energy and low-energy neutrinos in $\bar{\nu}_e + p \to e^+ + n$. This
test will also measure the cutoff time, and will thus allow a mass test of
$\nu_\mu$ and $\nu_\tau$ relative to $\bar{\nu}_e$. Assuming that $\nu_\mu$ and
$\nu_\tau$ are nearly degenerate, as suggested by the atmospheric neutrino
results, masses down to about 6 eV can be probed with a proposed lead detector
of mass $M_D = 4$ kton (OMNIS). Remarkably, the neutrino mass sensitivity
scales as $(D/L_{BH} M_D)^{1/2}$. Therefore, {\it direct} sensitivity to all
three neutrino masses in the interesting few-eV range is realistically
possible; {\it there are no other known techniques that have this capability}.",http://arxiv.org/abs/astro-ph/0010398v2,['astro-ph'],['Astrophysics']
"Technique for Direct eV-Scale Measurements of the Mu and Tau Neutrino
  Masses Using Supernova Neutrinos","['J. F. Beacom', 'R. N. Boyd', 'A. Mezzacappa']",2000-06-01T17:54:52Z,2000-06-01T17:54:52Z,"Early black hole formation in a core-collapse supernova will abruptly
truncate the neutrino fluxes. The sharp cutoff can be used to make
model-independent time-of-flight neutrino mass tests. Assuming a neutrino
luminosity of $10^{52}$ erg/s per flavor at cutoff and a distance of 10 kpc,
SuperKamiokande can detect an electron neutrino mass as small as 1.8 eV, and
the proposed OMNIS detector can detect mu and tau neutrino masses as small as 6
eV. This {\it Letter} presents the first technique with direct sensitivity to
eV-scale mu and tau neutrino masses.",http://arxiv.org/abs/hep-ph/0006015v1,['hep-ph'],['High Energy Physics - Phenomenology']
Solar mass-varying neutrino oscillations,"['V. Barger', 'Patrick Huber', 'Danny Marfatia']",2005-02-21T19:59:20Z,2005-09-30T21:30:33Z,"We propose that the solar neutrino deficit may be due to oscillations of
mass-varying neutrinos (MaVaNs). This scenario elucidates solar neutrino data
beautifully while remaining comfortably compatible with atmospheric neutrino
and K2K data and with reactor antineutrino data at short and long baselines
(from CHOOZ and KamLAND). We find that the survival probability of solar MaVaNs
is independent of how the suppression of neutrino mass caused by the
acceleron-matter couplings varies with density. Measurements of MeV and lower
energy solar neutrinos will provide a rigorous test of the idea.",http://arxiv.org/abs/hep-ph/0502196v2,['hep-ph'],['High Energy Physics - Phenomenology']
"The $σ$-meson and $π$-$π$ Correlation in Hot/Dense Medium: soft
  modes for chiral transition in QCD","['T. Hatsuda', 'T. Kunihiro']",2001-12-11T13:03:22Z,2001-12-11T13:03:22Z,"After a brief overview of the realization of chiral symmetry in hot and/or
dense medium, the implications of the existence of a light scalar-isoscalar
meson (which we call $\sigma$ throughout this report) are discussed in the
vacuum and in the medium. Special emphasis is put on its relation to the
fluctuation of the chiral order parameter $<\bar{q}q>$. In the vacuum, the
$\sigma$-meson is an elusive resonance corresponding to a pole deep in the
second Riemann sheet of the $\pi$-$\pi$ scattering matrix in the $I$=$J$=0
channel. This is because the the amplitude fluctuation of $<\bar{q}q>$
(corresponding to {\rm ur}-$\sigma$) and the phase fluctuation of $<\bar{q}q>$
(2 pion states) mix strongly in the vacuum. As the temperature and/or density
of the system increase, however, there arises a softening of this complex pole
due to the partial restoration of chiral symmetry. Such soft modes play a key
role to understand the QCD phase structure. We demonstrate that even a slight
softening of the $\sigma$ mode could induce strong spectral enhancement and
strong $\pi$-$\pi$ correlation near the 2$m_{\pi}$ threshold in the $I$=$J$=0
channel, which thereby can be a signature of the partial restoration of chiral
symmetry. Such spectral enhancement may be seen not only in hot matter created
by the relativistic heavy ion collisions but also in cold matter (heavy nuclei)
probed by photons and hadrons. Relevance of the partial restoration of chiral
symmetry in heavy nuclei with the recent data by the CHAOS and CB
collaborations as well as with on-going and future experiments are also
discussed.",http://arxiv.org/abs/nucl-th/0112027v1,['nucl-th'],['Nuclear Theory']
Chiral symmetry restoration in excited hadrons,['L. Ya. Glozman'],2003-09-30T08:40:49Z,2003-09-30T08:40:49Z,"The evidence, theoretical justification and implications of chiral symmetry
restoration in excited hadrons are presented.",http://arxiv.org/abs/hep-ph/0309334v1,['hep-ph'],['High Energy Physics - Phenomenology']
Particle Interferometry from 40 MeV to 40 TeV,['T. Csorgo'],2000-01-24T19:08:52Z,2001-10-05T01:39:52Z,"We review particle interferometry before 2000, including: basics and
formalism of quantum-statistical correlations; model-independent analysis of
short-range correlations; Coulomb wave-function corrections and the core/halo
picture for $n$-particle Bose-Einstein correlations; graph rules to calculate
these correlations even with partial coherence in the core; particle
interferometry in $e^+e^-$ collisions including the Andersson-Hofmann model;
invariant Buda-Lund particle interferometry; Buda-Lund, Bertsch-Pratt and
Yano-Koonin-Podgoretskii parameterizations; Buda-Lund hydro model and its
applications to (\pi/K)+p and Pb+Pb collisions at CERN SPS, as well as to low
energy heavy ion collisions; binary source formalism and the related
oscillations in the two-particle Bose-Einstein and Fermi-Dirac correlation
functions; experimental signs of expanding rings of fire and shells of fire in
particle and heavy ion physics and their similarity to planetary nebulae in
stellar astronomy; signal of partial restoration of the U_A(1) symmetry
restoration in the two-pion correlation function; back-to-back correlations of
bosons with in-medium mass modifications; and the analytic solution of the
pion-laser model.",http://arxiv.org/abs/hep-ph/0001233v3,['hep-ph'],['High Energy Physics - Phenomenology']
"Particle Astrophysics and Cosmology: Cosmic Laboratories for New Physics
  (Summary of the Snowmass 2001 P4 Working Group)","['Daniel S. Akerib', 'Sean M. Carroll', 'Marc Kamionkowski', 'Steven Ritz']",2002-01-18T20:05:49Z,2002-01-18T20:05:49Z,"The past few years have seen dramatic breakthroughs and spectacular and
puzzling discoveries in astrophysics and cosmology. In many cases, the new
observations can only be explained with the introduction of new fundamental
physics. Here we summarize some of these recent advances. We then describe
several problem in astrophysics and cosmology, ripe for major advances, whose
resolution will likely require new physics.",http://arxiv.org/abs/hep-ph/0201178v1,['hep-ph'],['High Energy Physics - Phenomenology']
"How accurately can one test CPT conservation with reactor and solar
  neutrino experiments?","['John N. Bahcall', 'V. Barger', 'Danny Marfatia']",2002-01-23T20:38:52Z,2002-01-23T20:38:52Z,"We show that the combined data from solar neutrino experiments and from the
KamLAND reactor neutrino experiment can establish an upper limit on, or detect,
potential CPT violation in the neutrino sector of order 10^{-20} GeV to
10^{-21} GeV.",http://arxiv.org/abs/hep-ph/0201211v1,['hep-ph'],['High Energy Physics - Phenomenology']
"Calculating Vacuum Energies in Renormalizable Quantum Field Theories: A
  New Approach to the Casimir Problem","['N. Graham', 'R. L. Jaffe', 'V. Khemani', 'M. Quandt', 'M. Scandurra', 'H. Weigel']",2002-07-12T16:43:50Z,2002-07-13T01:35:30Z,"The Casimir problem is usually posed as the response of a fluctuating quantum
field to externally imposed boundary conditions. In reality, however, no
interaction is strong enough to enforce a boundary condition on all frequencies
of a fluctuating field. We construct a more physical model of the situation by
coupling the fluctuating field to a smooth background potential that implements
the boundary condition in a certain limit. To study this problem, we develop
general new methods to compute renormalized one--loop quantum energies and
energy densities. We use analytic properties of scattering data to compute
Green's functions in time--independent background fields at imaginary momenta.
Our calculational method is particularly useful for numerical studies of
singular limits because it avoids terms that oscillate or require cancellation
of exponentially growing and decaying factors. To renormalize, we identify
potentially divergent contributions to the Casimir energy with low orders in
the Born series to the Green's function. We subtract these contributions and
add back the corresponding Feynman diagrams, which we combine with counterterms
fixed by imposing standard renormalization conditions on low--order Green's
functions. The resulting Casimir energy and energy density are finite
functionals for smooth background potentials. In general, however, the Casimir
energy diverges in the boundary condition limit. This divergence is real and
reflects the infinite energy needed to constrain a fluctuating field on all
energy scales; renormalizable quantum field theories have no place for ad hoc
surface counterterms. We apply our methods to simple examples to illustrate
cases where these subtleties invalidate the conclusions of the boundary
condition approach.",http://arxiv.org/abs/hep-th/0207120v2,['hep-th'],['High Energy Physics - Theory']
Casimir Energies in Light of Quantum Field Theory,"['N. Graham', 'R. L. Jaffe', 'V. Khemani', 'M. Quandt', 'M. Scandurra', 'H. Weigel']",2002-07-23T12:47:06Z,2003-01-30T09:37:09Z,"We study the Casimir problem as the limit of a conventional quantum field
theory coupled to a smooth background. The Casimir energy diverges in the limit
that the background forces the field to vanish on a surface. We show that this
divergence cannot be absorbed into a renormalization of the parameters of the
theory. As a result, the Casimir energy of the surface and other quantities
like the surface tension, which are obtained by deforming the surface, cannot
be defined independently of the details of the coupling between the field and
the matter on the surface. In contrast, the energy density away from the
surface and the force between rigid surfaces are finite and independent of
these complications.",http://arxiv.org/abs/hep-th/0207205v3,['hep-th'],['High Energy Physics - Theory']
The Search for the QGP: A Critical Appraisal,['H. Satz'],2000-09-08T14:22:58Z,2000-09-08T14:22:58Z,"Over the past 15 years, an extensive program of high energy nuclear
collisions at BNL and CERN has been devoted to the experimental search for the
quark-gluon plasma predicted by QCD. The start of RHIC this year will increase
the highest available collision energy by a factor 10. This seems a good time
for a critical assessment: what have we learned so far and what can we hope to
learn in the coming years?",http://arxiv.org/abs/hep-ph/0009099v1,['hep-ph'],['High Energy Physics - Phenomenology']
Chiral symmetry restoration and the string picture of hadrons,['L. Ya. Glozman'],2002-03-31T10:27:11Z,2002-06-25T17:34:59Z,"QCD string picture of highly excited hadrons very naturally explains parity
doubling once the chiral symmetry is restored high in the spectrum. In
particular, the spin-orbit and tensor interactions of quarks at the ends of the
string, related to dynamics of the string, vanish. High in the spectrum there
appears higher degree of degeneracy, namely parity doublets with different
angular momentum cluster around energy of the string in the given quantum
state.",http://arxiv.org/abs/hep-ph/0204006v3,['hep-ph'],['High Energy Physics - Phenomenology']
Pentaquark state in pole-dominated QCD sum rules,"['Toru Kojo', 'Arata Hayashigaki', 'Daisuke Jido']",2006-02-01T15:15:08Z,2006-08-18T14:24:26Z,"We propose a new approach in QCD sum rules applied for exotic hadrons with a
number of quarks, exemplifying the pentaquark Theta^{+} (I=0,J=1/2) in the
Borel sum rule. Our approach enables reliable extraction of the pentaquark
properties from the sum rule with good stability in a remarkably wide Borel
window. The appearance of its valid window originates from a favorable setup of
the correlation functions with the aid of it chirality of the interpolating
fields on the analogy of the Weinberg sum rule for the vector currents. Our
setup leads to large suppression of the continuum contributions which have
spoiled the Borel stability in the previous analyses, and consequently enhances
importance of the higher-dimensional contributions of the OPE, which are
indispensable for investigating the pentaquark properties. Implementing the OPE
analysis up to dimension 15, we find that the sum rules for the chiral-even and
odd parts independently give the Theta^{+} mass of 1.68 pm 0.22 GeV with
uncertainties of the condensate values. Our sum rule indeed gives rather flat
Borel curves almost independent of the continuum thresholds both for the mass
and pole residue. Finally, we also discuss possible isolation of the observed
states from the KN scattering state on view of chiral symmetry.",http://arxiv.org/abs/hep-ph/0602004v2,['hep-ph'],['High Energy Physics - Phenomenology']
Velocity of sound in relativistic heavy-ion collisions,"['Bedangadas Mohanty', 'Jan-e Alam']",2003-01-27T16:22:45Z,2003-10-20T10:33:18Z,"We have studied the rapidity distribution of secondary hadrons produced in
nucleus-nucleus collisions at ultra-relativistic energies within the ambit of
the Landau's hydrodynamical model. A reasonable description of the data can
also be obtained by using the Bjorken's hydrodynamical model if the boost
invariance is restricted to a finite rapidity range. The sensitivity of the
hadronic spectra on the equation of state vis- a -vis the velocity of sound has
been discussed. The correlation between the velocity of sound and the
freeze-out temperature has been indicated. The effects of the non-zero widths
of various mesonic and baryonic degrees of freedom up to the mass value ~ 2.5
GeV is seen to be small.",http://arxiv.org/abs/nucl-th/0301086v2,['nucl-th'],['Nuclear Theory']
"Electromagnetic properties of ground and excited state pseudoscalar
  mesons","['A. Hoell', 'A. Krassnigg', 'P. Maris', 'C. D. Roberts', 'S. V. Wright']",2005-03-16T00:27:42Z,2005-03-16T00:27:42Z,"The axial-vector Ward-Takahashi identity places constraints on particular
properties of every pseudoscalar meson. For example, in the chiral limit all
pseudoscalar mesons, except the Goldstone mode, decouple from the axial-vector
current. Nevertheless, all neutral pseudoscalar mesons couple to two photons.
The strength of the \pi_n^0 \gamma \gamma coupling, where n=0 denotes the
Goldstone mode, is affected by the Abelian anomaly's continuum contribution.
The effect is material for n \neq 0. The \gamma* \pi_n \gamma* transition form
factor, T_{\pi_n}(Q^2), is nonzero for all n, and T_{\pi_n}(Q^2) \approx
(4\pi^2/3) (f_{\pi_n}/Q^2) at large Q^2. For all pseudoscalars but the
Goldstone mode, this leading contribution vanishes in the chiral limit. In this
instance the ultraviolet power-law behaviour is 1/Q^4 for n \neq 0, and we find
numerically T_{\pi_1}(Q^2) \simeq (4\pi^2/3) (-<\bar q q>/Q^4). This subleading
power-law behaviour is always present. In general its coefficient is not simply
related to f_{\pi_n}. The properties of n \neq 0 pseudoscalar mesons are
sensitive to the pointwise behaviour of the long-range piece of the interaction
between light-quarks.",http://arxiv.org/abs/nucl-th/0503043v1,['nucl-th'],['Nuclear Theory']
Chiral Perturbation Theory and Baryon Properties,['Véronique Bernard'],2007-06-03T10:38:52Z,2007-06-03T10:38:52Z,"Theoretical as well as experimental progress has been made in the last decade
in describing the properties of baryons. In this review I will mostly report on
the theoretical issues. Two non-perturbative methods are privileged frameworks
for studying these properties in the low energy domain: chiral perturbation
theory, the effective field theory of the Standard Model at energies below 1
GeV and lattice QCD. I will mainly concentrate here on the first one but I will
also discuss the complementarity of the two methods. Chiral extrapolations for
lattice simulations of some nucleon properties will be investigated. I will
then concentrate on processes involving at most two nucleons, describing for
example pion-nucleon and pion-deuteron scattering, pion photo- and
electroproduction off the nucleon and the deuteron and doubly virtual Compton
scattering. Three flavor calculations will also be reviewed.",http://arxiv.org/abs/0706.0312v1,[],[]
